,time+0(UTC),time_+8(cn/home),time_+9(jp),time_-5(ca),cn2cahome_Loss_Rate,cn2cahome_RTT_Min,cn2cahome_RTT_Max,cn2cahome_RTT_Avg,cn2cahome_RTT_stddev,cn2cahome_stddev/Avg,cn2cahome_Distance(est)(km),cn2cahome_Avg/Distance,cn2cahome_Number_of_Hops,cn2ca_Loss_Rate,cn2ca_RTT_Min,cn2ca_RTT_Max,cn2ca_RTT_Avg,cn2ca_RTT_stddev,cn2ca_stddev/Avg,cn2ca_Distance(est)(km),cn2ca_Avg/Distance,cn2ca_Number_of_Hops,cn2jp_Loss_Rate,cn2jp_RTT_Min,cn2jp_RTT_Max,cn2jp_RTT_Avg,cn2jp_RTT_stddev,cn2jp_stddev/Avg,cn2jp_Distance(est)(km),cn2jp_Avg/Distance,cn2jp_Number_of_Hops,ca2jp_Loss_Rate,ca2jp_RTT_Min,ca2jp_RTT_Max,ca2jp_RTT_Avg,ca2jp_RTT_stddev,ca2jp_stddev/Avg,ca2jp_Distance(est)(km),ca2jp_Avg/Distance,ca2jp_Number_of_Hops,ca2cahome_Loss_Rate,ca2cahome_RTT_Min,ca2cahome_RTT_Max,ca2cahome_RTT_Avg,ca2cahome_RTT_stddev,ca2cahome_stddev/Avg,ca2cahome_Distance(est)(km),ca2cahome_Avg/Distance,ca2cahome_Number_of_Hops,jp2cahome_Loss_Rate,jp2cahome_RTT_Min,jp2cahome_RTT_Max,jp2cahome_RTT_Avg,jp2cahome_RTT_stddev,jp2cahome_stddev/Avg,jp2cahome_Distance(est)(km),jp2cahome_Avg/Distance,jp2cahome_Number_of_Hops,home2ca_Loss_Rate,home2ca_RTT_Min,home2ca_RTT_Max,home2ca_RTT_Avg,home2ca_RTT_stddev,home2ca_stddev/Avg,home2ca_Distance(est)(km),home2ca_Avg/Distance,home2ca_Number_of_Hops,home2cn_Loss_Rate,home2cn_RTT_Min,home2cn_RTT_Max,home2cn_RTT_Avg,home2cn_RTT_stddev,home2cn_stddev/Avg,home2cn_Distance(est)(km),home2cn_Avg/Distance,home2cn_Number_of_Hops,home2jp_Loss_Rate,home2jp_RTT_Min,home2jp_RTT_Max,home2jp_RTT_Avg,home2jp_RTT_stddev,home2jp_stddev/Avg,home2jp_Distance(est)(km),home2jp_Avg/Distance,home2jp_Number_of_Hops,home2cahome_Loss_Rate,home2cahome_RTT_Min,home2cahome_RTT_Max,home2cahome_RTT_Avg,home2cahome_RTT_stddev,home2cahome_stddev/Avg,home2cahome_Distance(est)(km),home2cahome_Avg/Distance,home2cahome_Number_of_Hops
202010222000,.DS_Store,202010222000,,,0.25,198.687,212.065,201.519,3.609,0.018,9186,0.022,17,0.35,228.522,231.980,229.245,1.111,0.005,11559,0.020,25,0.35,98.719,205.919,161.940,46.402,0.287,1920,0.084,17,,,,,,nan,10346,nan,,,,,,,nan,3360,nan,,,,,,,nan,7548,nan,,,,,,,nan,11644,nan,,,,,,,nan,566,nan,,,,,,,nan,2432,nan,,,,,,,nan,9478,nan,
202010222010,202010221210,202010222010,,,0.10,198.709,254.801,202.500,12.719,0.063,9186,0.022,17,0.25,228.445,232.016,228.914,0.873,0.004,11559,0.020,24,0.10,139.126,197.930,178.221,21.040,0.118,1920,0.093,17,0.0,160.266,163.568,160.886,0.837,0.005,10346,0.016,8,0.0,56.734,63.197,58.864,2.280,0.039,3360,0.018,8,0.0,107.225,111.999,108.197,1.227,0.011,7548,0.014,9,,,,,,nan,11644,nan,,,,,,,nan,566,nan,,,,,,,nan,2432,nan,,,,,,,nan,9478,nan,
202010222020,202010221220,202010222020,,,0.10,198.690,201.749,199.614,0.773,0.004,9186,0.022,17,0.20,228.524,230.672,228.930,0.531,0.002,11559,0.020,22,0.25,166.229,199.404,187.088,11.347,0.061,1920,0.097,17,0.0,160.285,161.501,160.527,0.328,0.002,10346,0.016,8,0.0,56.935,61.266,58.277,1.254,0.022,3360,0.017,8,0.0,107.276,112.584,108.434,1.322,0.012,7548,0.014,9,,,,,,nan,11644,nan,,,,,,,nan,566,nan,,,,,,,nan,2432,nan,,,,,,,nan,9478,nan,
202010222030,202010221230,202010222030,,,0.20,198.617,204.200,199.580,1.282,0.006,9186,0.022,17,0.30,228.493,228.831,228.626,0.104,0.000,11559,0.020,24,0.10,115.248,154.519,135.591,11.199,0.083,1920,0.071,17,0.0,159.848,162.249,160.452,0.711,0.004,10346,0.016,9,0.0,57.043,62.131,58.216,1.255,0.022,3360,0.017,8,0.0,107.198,113.212,108.521,1.675,0.015,7548,0.014,9,,,,,,nan,11644,nan,,,,,,,nan,566,nan,,,,,,,nan,2432,nan,,,,,,,nan,9478,nan,
202010222040,202010221240,202010222040,,,0.15,198.655,203.898,199.807,1.339,0.007,9186,0.022,17,0.25,228.506,229.695,228.798,0.337,0.001,11559,0.020,23,0.10,151.132,197.118,168.434,11.301,0.067,1920,0.088,17,0.0,159.796,160.995,160.161,0.424,0.003,10346,0.015,8,0.0,56.841,67.871,58.569,2.549,0.044,3360,0.017,8,0.0,107.242,112.786,108.937,1.966,0.018,7548,0.014,9,,,,,,nan,11644,nan,,,,,,,nan,566,nan,,,,,,,nan,2432,nan,,,,,,,nan,9478,nan,
202010222050,202010221250,202010222050,,,0.10,198.360,204.154,199.349,1.256,0.006,9186,0.022,17,0.25,228.455,229.447,228.671,0.220,0.001,11559,0.020,25,0.25,115.269,140.753,128.387,5.945,0.046,1920,0.067,17,0.0,159.797,162.733,160.390,0.740,0.005,10346,0.016,8,0.0,56.916,61.654,58.210,1.253,0.022,3360,0.017,8,0.0,107.172,112.170,108.405,1.421,0.013,7548,0.014,9,,,,,,nan,11644,nan,,,,,,,nan,566,nan,,,,,,,nan,2432,nan,,,,,,,nan,9478,nan,
202010222100,202010221300,202010222100,,,0.20,198.528,205.307,199.593,1.521,0.008,9186,0.022,17,0.20,228.388,228.788,228.563,0.133,0.001,11559,0.020,23,0.35,89.300,148.232,104.194,18.297,0.176,1920,0.054,18,0.0,159.812,164.390,160.452,1.030,0.006,10346,0.016,8,0.0,56.981,59.897,57.798,0.743,0.013,3360,0.017,8,0.0,107.498,112.438,108.124,1.057,0.010,7548,0.014,9,,,,,,nan,11644,nan,,,,,,,nan,566,nan,,,,,,,nan,2432,nan,,,,,,,nan,9478,nan,
202010222110,202010221310,202010222110,,,0.35,198.746,200.455,199.197,0.454,0.002,9186,0.022,17,0.25,228.464,230.747,228.960,0.571,0.002,11559,0.020,26,0.10,89.104,100.130,91.956,3.786,0.041,1920,0.048,18,0.0,159.842,166.247,160.482,1.414,0.009,10346,0.016,8,0.0,56.829,66.739,58.824,2.584,0.044,3360,0.018,8,0.0,107.397,112.564,108.203,1.201,0.011,7548,0.014,10,,,,,,nan,11644,nan,,,,,,,nan,566,nan,,,,,,,nan,2432,nan,,,,,,,nan,9478,nan,
202010222120,202010221320,202010222120,,,0.20,198.456,201.220,199.408,0.879,0.004,9186,0.022,17,0.40,228.391,232.545,228.993,1.118,0.005,11559,0.020,25,0.30,97.701,171.316,135.285,20.374,0.151,1920,0.070,17,0.0,160.075,163.010,160.426,0.728,0.005,10346,0.016,8,0.0,56.834,64.044,58.375,1.945,0.033,3360,0.017,8,0.0,107.454,113.002,108.200,1.171,0.011,7548,0.014,9,,,,,,nan,11644,nan,,,,,,,nan,566,nan,,,,,,,nan,2432,nan,,,,,,,nan,9478,nan,
202010222130,202010221330,202010222130,,,0.30,198.669,203.898,199.492,1.300,0.007,9186,0.022,17,0.20,228.368,229.089,228.678,0.217,0.001,11559,0.020,23,0.35,170.440,197.102,182.217,9.005,0.049,1920,0.095,18,0.0,160.071,161.278,160.340,0.374,0.002,10346,0.015,8,0.0,56.659,61.799,58.170,1.501,0.026,3360,0.017,8,0.0,107.365,113.060,108.050,1.183,0.011,7548,0.014,10,,,,,,nan,11644,nan,,,,,,,nan,566,nan,,,,,,,nan,2432,nan,,,,,,,nan,9478,nan,
202010222140,202010221340,202010222140,,,0.35,198.492,203.375,200.267,1.661,0.008,9186,0.022,17,0.20,234.136,235.420,234.391,0.366,0.002,11559,0.020,24,0.25,186.061,198.242,193.237,3.375,0.017,1920,0.101,17,0.0,159.808,160.924,160.035,0.238,0.001,10346,0.015,8,0.0,56.940,62.193,58.116,1.448,0.025,3360,0.017,8,0.0,107.278,111.576,108.135,1.026,0.009,7548,0.014,9,,,,,,nan,11644,nan,,,,,,,nan,566,nan,,,,,,,nan,2432,nan,,,,,,,nan,9478,nan,
202010222150,202010221350,202010222150,,,0.25,198.691,217.732,200.585,4.624,0.023,9186,0.022,17,0.20,234.402,236.990,234.911,0.752,0.003,11559,0.020,25,0.40,110.655,148.019,131.056,12.190,0.093,1920,0.068,17,0.0,160.085,162.650,160.633,0.619,0.004,10346,0.016,8,0.0,56.767,63.694,58.019,1.736,0.030,3360,0.017,8,0.0,107.258,111.221,108.190,1.012,0.009,7548,0.014,10,,,,,,nan,11644,nan,,,,,,,nan,566,nan,,,,,,,nan,2432,nan,,,,,,,nan,9478,nan,
202010222200,202010221400,202010222200,,,0.15,198.767,203.602,200.074,1.570,0.008,9186,0.022,17,0.35,234.095,235.819,234.537,0.502,0.002,11559,0.020,24,0.40,140.249,163.794,154.474,7.400,0.048,1920,0.080,17,0.0,160.259,167.916,161.298,1.921,0.012,10346,0.016,8,0.0,56.793,62.772,58.294,1.710,0.029,3360,0.017,8,0.0,107.498,120.526,108.826,2.900,0.027,7548,0.014,9,,,,,,nan,11644,nan,,,,,,,nan,566,nan,,,,,,,nan,2432,nan,,,,,,,nan,9478,nan,
202010222210,202010221410,202010222210,,,0.25,198.460,203.623,199.751,1.511,0.008,9186,0.022,17,0.35,234.113,235.383,234.475,0.357,0.002,11559,0.020,22,0.35,133.099,165.975,146.504,9.973,0.068,1920,0.076,17,0.0,160.069,161.233,160.342,0.371,0.002,10346,0.015,8,0.0,56.697,64.045,58.977,2.462,0.042,3360,0.018,8,0.0,107.246,109.924,108.197,0.857,0.008,7548,0.014,10,,,,,,nan,11644,nan,,,,,,,nan,566,nan,,,,,,,nan,2432,nan,,,,,,,nan,9478,nan,
202010222220,202010221420,202010222220,,,0.15,198.813,208.488,202.446,3.045,0.015,9186,0.022,17,0.15,228.392,229.849,228.875,0.432,0.002,11559,0.020,27,0.25,89.364,107.900,93.863,5.019,0.053,1920,0.049,17,0.0,159.927,161.281,160.354,0.430,0.003,10346,0.015,8,0.0,56.789,66.673,59.112,2.983,0.050,3360,0.018,8,0.0,107.049,118.601,108.254,2.439,0.023,7548,0.014,9,,,,,,nan,11644,nan,,,,,,,nan,566,nan,,,,,,,nan,2432,nan,,,,,,,nan,9478,nan,
202010222230,202010221430,202010222230,,,0.15,198.453,202.862,199.720,1.407,0.007,9186,0.022,17,0.55,234.297,236.882,234.696,0.783,0.003,11559,0.020,23,0.45,89.833,137.402,103.783,13.971,0.135,1920,0.054,17,0.0,159.594,161.507,160.016,0.528,0.003,10346,0.015,9,0.0,56.809,59.424,57.809,0.830,0.014,3360,0.017,8,0.0,107.442,109.385,108.055,0.655,0.006,7548,0.014,9,,,,,,nan,11644,nan,,,,,,,nan,566,nan,,,,,,,nan,2432,nan,,,,,,,nan,9478,nan,
202010222240,202010221440,202010222240,,,0.35,200.877,201.949,201.511,0.274,0.001,9186,0.022,17,0.40,234.369,250.291,236.559,4.254,0.018,11559,0.020,22,0.40,88.982,101.554,92.528,3.829,0.041,1920,0.048,17,0.0,159.596,162.545,160.097,0.737,0.005,10346,0.015,8,0.0,56.885,65.492,58.335,2.054,0.035,3360,0.017,8,0.0,107.344,111.857,108.236,1.080,0.010,7548,0.014,9,,,,,,nan,11644,nan,,,,,,,nan,566,nan,,,,,,,nan,2432,nan,,,,,,,nan,9478,nan,
202010222250,202010221450,202010222250,,,0.10,201.170,212.668,203.315,2.629,0.013,9186,0.022,17,0.25,234.413,236.313,234.855,0.489,0.002,11559,0.020,22,0.60,101.531,155.281,130.952,16.573,0.127,1920,0.068,17,0.0,159.656,161.414,159.957,0.452,0.003,10346,0.015,8,0.0,56.921,69.148,58.317,2.689,0.046,3360,0.017,8,0.0,107.285,117.578,108.991,2.479,0.023,7548,0.014,9,,,,,,nan,11644,nan,,,,,,,nan,566,nan,,,,,,,nan,2432,nan,,,,,,,nan,9478,nan,
202010222300,202010221500,202010222300,,,0.15,201.246,202.648,201.809,0.405,0.002,9186,0.022,17,0.45,234.224,235.582,234.548,0.357,0.002,11559,0.020,26,0.30,89.077,102.712,91.521,3.893,0.043,1920,0.048,17,0.0,159.618,164.238,160.058,0.996,0.006,10346,0.015,8,0.0,56.908,68.157,58.265,2.499,0.043,3360,0.017,8,0.0,107.511,113.133,108.921,1.643,0.015,7548,0.014,9,,,,,,nan,11644,nan,,,,,,,nan,566,nan,,,,,,,nan,2432,nan,,,,,,,nan,9478,nan,
202010222310,202010221510,202010222310,,,0.20,201.131,202.058,201.588,0.241,0.001,9186,0.022,17,0.25,234.642,235.846,235.047,0.401,0.002,11559,0.020,25,0.15,89.025,92.779,89.749,0.971,0.011,1920,0.047,17,0.0,160.159,162.281,160.552,0.568,0.004,10346,0.016,8,0.0,56.705,60.492,57.997,1.041,0.018,3360,0.017,8,0.0,107.458,111.329,108.337,0.978,0.009,7548,0.014,9,,,,,,nan,11644,nan,,,,,,,nan,566,nan,,,,,,,nan,2432,nan,,,,,,,nan,9478,nan,
202010222320,202010221520,202010222320,,,0.25,200.946,205.441,202.162,1.341,0.007,9186,0.022,17,0.20,228.473,228.690,228.568,0.054,0.000,11559,0.020,22,0.20,89.181,101.811,90.328,2.986,0.033,1920,0.047,17,0.0,160.311,162.719,160.760,0.701,0.004,10346,0.016,8,0.0,56.767,65.786,58.283,2.138,0.037,3360,0.017,8,0.0,107.120,112.478,107.931,1.115,0.010,7548,0.014,9,,,,,,nan,11644,nan,,,,,,,nan,566,nan,,,,,,,nan,2432,nan,,,,,,,nan,9478,nan,
202010222330,202010221530,202010222330,,,0.30,201.164,205.469,201.818,1.103,0.005,9186,0.022,17,0.25,234.680,236.478,235.114,0.536,0.002,11559,0.020,24,0.25,88.932,91.004,89.565,0.549,0.006,1920,0.047,17,0.0,160.015,160.664,160.210,0.135,0.001,10346,0.015,8,0.0,56.756,62.418,58.158,1.624,0.028,3360,0.017,8,0.0,107.282,113.218,108.640,1.655,0.015,7548,0.014,10,,,,,,nan,11644,nan,,,,,,,nan,566,nan,,,,,,,nan,2432,nan,,,,,,,nan,9478,nan,
202010222340,202010221540,202010222340,,,0.15,200.935,202.524,201.587,0.395,0.002,9186,0.022,17,0.15,228.523,230.882,228.874,0.532,0.002,11559,0.020,22,0.15,89.081,91.480,89.548,0.728,0.008,1920,0.047,17,0.0,159.817,161.527,160.018,0.357,0.002,10346,0.015,8,0.0,56.692,60.438,57.783,0.960,0.017,3360,0.017,8,0.0,107.173,112.957,108.172,1.370,0.013,7548,0.014,9,0.25,265.100,282.825,271.736,4.966,0.018,11644,0.023,28,0.0,26.395,30.352,29.236,0.758,0.026,566,0.052,,0.30,296.715,308.547,301.047,4.074,0.014,2432,0.124,21,0.5,247.445,3862.593,467.530,800.268,1.712,9478,0.049,16
202010222350,202010221550,202010222350,,,0.25,201.254,212.161,206.178,2.846,0.014,9186,0.022,17,0.10,228.677,235.791,234.388,1.511,0.006,11559,0.020,25,0.20,88.880,92.045,89.345,0.711,0.008,1920,0.047,17,0.0,159.938,160.642,160.199,0.140,0.001,10346,0.015,8,0.0,57.344,67.534,62.100,3.101,0.050,3360,0.018,8,0.0,104.944,117.505,111.928,3.611,0.032,7548,0.015,9,0.30,262.869,286.532,275.479,6.706,0.024,11644,0.024,29,0.0,27.590,35.157,29.630,1.368,0.046,566,0.052,,0.5,296.100,310.331,302.462,4.506,0.015,2432,0.124,21,0.0,260.153,296.748,283.320,7.245,0.026,9478,0.030,17
